,positionId,positionName,companyId,companyFullName,companyShortName,companySize,industryField,financeStage,companyLabelList,firstType,secondType,thirdType,skillLables,positionLables,industryLables,createTime,formatCreateTime,city,district,businessZones,salary,salaryMonth,workYear,jobNature,education,positionAdvantage,imState,lastLogin,publisherId,approve,subwayline,stationname,linestaion,latitude,longitude,distance,hitags,resumeProcessRate,resumeProcessDay,score,newScore,matchScore,matchScoreExplain,query,explain,isSchoolJob,adWord,plus,pcShow,appShow,deliver,gradeDescription,promotionScoreExplain,isHotHire,count,aggregatePositionIds,promotionType,is51Job,detailRecall,famousCompany,hunterJob
12,7551521,用户数据分析员,11413,深圳市北鼎科技有限公司,北鼎科技,150-500人,其他,上市公司,"['带薪年假', '定期体检', '年终奖金', '年度旅游']",产品|需求|项目类,产品经理,用户产品经理,"['用户研究', '数据分析', '流程设计']","['用户研究', '数据分析', '流程设计']",[],2020/11/3 16:19,16:19发布,深圳,南山区,,15k-20k,13,3-5年,全职,本科,发展前景，团队氛围，双休,today,2020/11/3 16:19,143659,1,5号线/环中线,塘朗,5号线/环中线_塘朗,22.588175,113.999379,,,18,1,14,0,2.8261294,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
13,7554969,资深数据分析师-数据方向,55446,贝壳找房（北京）科技有限公司,贝壳,2000人以上,房产家居,上市公司,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",产品|需求|项目类,数据分析,数据分析,"['商业', '数据库', '数据分析']","['电商', '本地生活', '商业', '数据库', '数据分析']","['电商', '本地生活', '商业', '数据库', '数据分析']",2020/11/3 16:22,16:22发布,北京,海淀区,,30k-45k,16,3-5年,全职,不限,年底四薪，三餐免费，内部机会多，年假多,today,2020/11/3 16:00,11099849,1,昌平线,西二旗,13号线_西二旗;昌平线_西二旗,40.047659,116.306882,,"['免费班车', '免费健身房', '免费下午茶', '一年调薪1次', '一年调薪2次', '15薪', '弹性工作', '地铁周边', '定期团建', '工作居住证', '超长年假', '6险2金']",100,1,14,0,2.8290162,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,TRUE,FALSE
14,6992057,产品经理（数据分析）,117925834,广东新明珠陶瓷集团有限公司,新明珠集团,2000人以上,"电商,房产家居",未融资,[],产品|需求|项目类,产品经理,产品经理,"['数据分析', '竞品分析', '需求分析', '用户研究']","['数据分析', '竞品分析', '需求分析', '用户研究']",[],2020/11/3 16:15,16:15发布,佛山,禅城区,['西樵'],13k-26k,0,3-5年,全职,本科,五险一金 餐补 话费补贴,today,2020/11/3 16:15,16766670,1,,,,22.957851,113.014427,,,0,0,14,0,2.8261294,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
0,7551521,用户数据分析员,11413,深圳市北鼎科技有限公司,北鼎科技,150-500人,其他,上市公司,"['带薪年假', '定期体检', '年终奖金', '年度旅游']",产品|需求|项目类,产品经理,用户产品经理,"['用户研究', '数据分析', '流程设计']","['用户研究', '数据分析', '流程设计']",[],2020/11/3 16:19,16:19发布,深圳,南山区,,15k-20k,13,3-5年,全职,本科,发展前景，团队氛围，双休,today,2020/11/3 16:19,143659,1,5号线/环中线,塘朗,5号线/环中线_塘朗,22.588175,113.999379,,,18,1,14,0,2.8261294,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
1,7554969,资深数据分析师-数据方向,55446,贝壳找房（北京）科技有限公司,贝壳,2000人以上,房产家居,上市公司,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",产品|需求|项目类,数据分析,数据分析,"['商业', '数据库', '数据分析']","['电商', '本地生活', '商业', '数据库', '数据分析']","['电商', '本地生活', '商业', '数据库', '数据分析']",2020/11/3 16:22,16:22发布,北京,海淀区,,30k-45k,16,3-5年,全职,不限,年底四薪，三餐免费，内部机会多，年假多,today,2020/11/3 16:00,11099849,1,昌平线,西二旗,13号线_西二旗;昌平线_西二旗,40.047659,116.306882,,"['免费班车', '免费健身房', '免费下午茶', '一年调薪1次', '一年调薪2次', '15薪', '弹性工作', '地铁周边', '定期团建', '工作居住证', '超长年假', '6险2金']",100,1,14,0,2.8290162,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,TRUE,FALSE
2,6992057,产品经理（数据分析）,117925834,广东新明珠陶瓷集团有限公司,新明珠集团,2000人以上,"电商,房产家居",未融资,[],产品|需求|项目类,产品经理,产品经理,"['数据分析', '竞品分析', '需求分析', '用户研究']","['数据分析', '竞品分析', '需求分析', '用户研究']",[],2020/11/3 16:15,16:15发布,佛山,禅城区,['西樵'],13k-26k,0,3-5年,全职,本科,五险一金 餐补 话费补贴,today,2020/11/3 16:15,16766670,1,,,,22.957851,113.014427,,,0,0,14,0,2.8261294,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
3,7684829,高级/资深数据分析师,364901,北京尔湾科技有限公司,尔湾科技,500-2000人,"移动互联网,教育",D轮及以上,"['绩效奖金', '弹性工作', '领导好', '技能培训']",开发|测试|运维类,数据开发,数据分析,"['Python', 'sql']","['Python', 'sql']",[],2020/11/3 16:18,16:18发布,北京,朝阳区,"['望京', '来广营']",20k-35k,14,5-10年,全职,本科,平台增速快 收获大,threeDays,2020/11/3 16:18,6089465,1,14号线东段,东湖渠,14号线东段_来广营;14号线东段_东湖渠,40.021963,116.474814,,['免费下午茶'],0,0,14,0,2.8203561,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
4,6677582,产品经理（数据分析）,64327,深圳视界信息技术有限公司,八爪鱼,50-150人,数据服务,A轮,"['重职业规划', '团队有趣高效', '大数据+AI', '加班调休']",产品|需求|项目类,产品经理,数据产品经理,"['产品设计', '数据分析', '需求分析']","['云计算', '大数据', '产品设计', '数据分析', '需求分析']","['云计算', '大数据', '产品设计', '数据分析', '需求分析']",2020/11/3 16:03,16:03发布,深圳,南山区,['科技园'],15k-30k,0,3-5年,全职,本科,AI+大数据；氛围活跃；新技术,today,2020/11/3 16:06,11269442,1,1号线/罗宝线,深大,1号线/罗宝线_深大,22.550771,113.942403,,,43,1,14,0,2.8059223,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
5,7481233,高级数据分析师（互联网方向）,478568,上海趣致网络科技股份有限公司,上海趣致,150-500人,"移动互联网,电商",C轮,"['带薪年假', '通讯津贴', '交通补助', '绩效奖金']",产品|需求|项目类,产品经理,数据分析师,['数据分析'],"['新零售', '移动互联网', '数据分析']","['新零售', '移动互联网', '数据分析']",2020/11/3 16:09,16:09发布,上海,杨浦区,,13k-18k,13,3-5年,全职,本科,五险一金 弹性工作 年终奖金 绿色办公,today,2020/11/3 16:44,17674241,1,12号线,爱国路,12号线_隆昌路;12号线_爱国路;12号线_复兴岛,31.274428,121.550057,,,26,1,14,0,2.8088088,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
6,7874945,商业数据分析师,122296,上海驰骛信息科技有限公司,驰骛科技ChiefClouds,50-150人,"数据服务,移动互联网",A轮,[],产品|需求|项目类,数据分析,数据分析,"['商业', '数据分析', 'SQL', 'Phython']","['广告营销', '大数据', '商业', '数据分析', 'SQL', 'Phython']","['广告营销', '大数据', '商业', '数据分析', 'SQL', 'Phython']",2020/11/3 16:10,16:10发布,上海,徐汇区,['漕河泾'],15k-30k,13,3-5年,全职,本科,互联网氛围 年假多 不打卡 地铁周边 员工餐,today,2020/11/3 16:38,5631547,1,12号线,虹梅路,9号线_漕河泾开发区;12号线_虹梅路;12号线_虹漕路,31.172082,121.402129,,,85,1,14,0,2.8001487,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
7,7683578,数据分析(BI方向）,71182,深圳盈富斯科技有限公司,盈富斯,150-500人,电商,C轮,"['股票期权', '带薪年假', '五险一金', '弹性工作']",开发|测试|运维类,数据开发,数据分析,"['MySQL', 'Python', '数据分析']","['电商', 'MySQL', 'Python', '数据分析']","['电商', 'MySQL', 'Python', '数据分析']",2020/11/3 16:00,16:00发布,深圳,南山区,"['西丽', '科技园']",10k-15k,0,1-3年,全职,本科,国际化团队 知名风投 有大牛,today,2020/11/3 16:14,18910288,1,,,,22.556626,113.941234,,,2,1,14,0,2.7886016,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
8,7106084,临床数据分析员,66044,艾迪泰科科技（北京）有限公司,艾迪泰科,150-500人,其他,不需要融资,"['带薪年假', '弹性工作', '午餐补助', '六险一金']",化工|生物|制药|医护,生物|制药|医疗器械,临床数据分析员,[],"['医疗健康', '移动互联网']","['医疗健康', '移动互联网']",2020/11/3 15:54,15:54发布,北京,海淀区,"['西北旺', '上地', '马连洼']",7k-12k,13,不限,全职,本科,六险一金 节日福利 餐补 带薪年假,today,2020/11/3 16:26,16981757,1,昌平线,西二旗,13号线_西二旗;昌平线_西二旗,40.044532,116.299033,,,100,2,14,0,2.7857149,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
9,7909055,数据分析师,29105,杭州煎饼网络技术有限公司,51公积金管家,150-500人,移动互联网,B轮,"['技能培训', '股票期权', '带薪年假', '扁平管理']",产品|需求|项目类,产品经理,数据分析师,['数据分析'],"['金融', '数据分析']","['金融', '数据分析']",2020/11/2 18:33,1天前发布,杭州,西湖区,['西溪'],10k-15k,0,1-3年,全职,本科,团队大牛，弹性工作制加班少，环境氛围好,today,2020/11/3 15:38,10944170,1,,,,30.291563,120.068048,,,36,1,14,0,4.1482615,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
10,7629181,数据分析师（医学大数据）,118505050,广东顺德中山大学卡内基梅隆大学国际联合研究院,广东顺德中山大学卡内基梅隆大学国际联合研究院,15-50人,"人工智能,区块链",不需要融资,[],开发|测试|运维类,人工智能,机器学习,"['深度学习', '临床数据分析']","['医疗健康', '大数据', '深度学习', '临床数据分析']","['医疗健康', '大数据', '深度学习', '临床数据分析']",2020/11/3 16:00,16:00发布,广州,天河区,,16k-18k,0,3-5年,全职,硕士,事业单位正式合同聘用,today,2020/11/3 16:38,10237031,1,3号线,杨箕,1号线_杨箕;1号线_体育西路;1号线_体育中心;3号线_珠江新城;3号线_体育西路;3号线(北延段)_体育西路;5号线_杨箕;5号线_五羊邨;5号线_珠江新城;APM线_大剧院;APM线_花城大道;APM线_妇儿中心;APM线_黄埔大道;APM线_天河南;APM线_体育中心南,23.125473,113.319061,,,0,0,14,0,2.7886016,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
11,7715663,高级数据分析师,588501,数贸科技（北京）有限公司,敦煌网,500-2000人,电商,D轮及以上,"['带薪年假', '定期体检', '绩效奖金', '年终分红']",开发|测试|运维类,数据开发,数据分析,['数据仓库'],"['电商', '数据仓库']","['电商', '数据仓库']",2020/11/3 15:55,15:55发布,北京,海淀区,,15k-25k,14,3-5年,全职,本科,学习机会,today,2020/11/3 15:55,8536770,0,13号线,五道口,13号线_五道口;15号线_清华东路西口,39.992318,116.3389,,,11,5,14,0,2.7770548,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
12,7561200,高级数据分析师（五险一金+双休+丰厚福利）,289858,安徽省刀锋网络科技有限公司,安徽省刀锋网络科技有限公司,500-2000人,"移动互联网,游戏",B轮,"['年底双薪', '专项奖金', '年终分红', '带薪年假']",开发|测试|运维类,数据开发,数据分析,['Python'],"['大数据', 'Python']","['大数据', 'Python']",2020/11/3 15:55,15:55发布,郑州,中原区,,10k-15k,0,3-5年,全职,本科,公司发展前景好，团队实力强,today,2020/11/3 16:41,9386260,1,,,,34.806744,113.607043,,,100,1,14,0,2.7799416,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,FALSE,FALSE
13,3314583,高级数据分析师,7835,北京金山办公软件股份有限公司,金山办公软件,2000人以上,移动互联网,上市公司,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",产品|需求|项目类,数据分析,数据分析,"['商业', '数据分析']","['大数据', '商业', '数据分析']","['大数据', '商业', '数据分析']",2020/11/3 15:51,15:51发布,北京,海淀区,"['清河', '西三旗', '上地']",15k-25k,0,3-5年,全职,本科,"六险一金,三餐免费,免费下午茶,各种团建",today,2020/11/3 16:28,1636627,1,13号线,上地,13号线_上地,40.033279,116.337595,,,0,4,14,0,2.7857149,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,TRUE,FALSE
14,7850520,数据分析/数据产品-高星业务,50702,北京三快在线科技有限公司,美团,2000人以上,消费生活,上市公司,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",运营|编辑|客服类,运营,其他运营,[],['数据'],['数据'],2020/11/3 10:00,10:00发布,北京,朝阳区,,15k-30k,0,1-3年,全职,本科,发展空间大；扁平化管理,overSevenDays,2020/10/23 19:11,11702595,1,13号线,望京西,13号线_望京西;14号线东段_望京;14号线东段_阜通;15号线_望京;15号线_望京西,39.995197,116.466485,,"['早九晚六', '学习机会', '免费体检', 'bat背景', '定期团建', '生日聚会', '免费休闲游', '带薪病假', '交通补助', '生子红包', '弹性工作', '地铁周边', '5险1金', '晋升机制', '6险1金']",35,1,15,0,2.7770548,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,TRUE,FALSE
0,7850967,SG闪购-数据分析（O2O新供给）,50702,北京三快在线科技有限公司,美团,2000人以上,消费生活,上市公司,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",产品|需求|项目类,数据分析,其他数据分析,[],['数据分析'],['数据分析'],2020/11/3 9:00,09:00发布,北京,朝阳区,,20k-40k,0,不限,全职,不限,平台大，机会多,overSevenDays,2020/10/22 19:40,6700568,1,15号线,望京东,15号线_望京东,40.008142,116.486622,,"['早九晚六', '学习机会', '免费体检', 'bat背景', '定期团建', '生日聚会', '免费休闲游', '带薪病假', '交通补助', '生子红包', '弹性工作', '地铁周边', '5险1金', '晋升机制', '6险1金']",0,0,15,0,2.7770548,,,,0,0,,0,0,0,,,0,0,[],,FALSE,FALSE,TRUE,FALSE
