公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
富途网络科技（深圳）有限公司,富途,500-2000人,上市公司,南山区,金融量化数据分析实习生,在校/应届,本科,3k-4k,腾讯系上市企业、bat团队、导师制,金融,开发|测试|运维类,"['年底双薪', '腾讯系', '互联网金融', '年度体检']",数据开发,深圳
百融云创科技股份有限公司,百融云创,500-2000人,C轮,石景山区,数据分析实习生 (MJ000206),在校/应届,本科,3k-5k,成长空间,金融,开发|测试|运维类,"['技能培训', '股票期权', '带薪年假', '定期体检']",数据开发,北京
好人生管理咨询（上海）有限公司,VHS 好人生,50-150人,C轮,长宁区,数据分析实习生,在校/应届,本科,3k-4k,氛围轻松，周末双休，技能培养,医疗丨健康,开发|测试|运维类,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']",数据开发,上海
上海贝塔斯曼商业服务有限公司,arvato China,2000人以上,不需要融资,静安区,BA数据分析实习生（可留用）,不限,本科,2k-3k,500强外资 CRM agcney,"广告营销,数据服务",产品|需求|项目类,"['五险一金', '通讯津贴', '交通补助', '带薪年假']",数据分析,上海
广州小鹏汽车科技有限公司,小鹏汽车,2000人以上,上市公司,天河区,数据分析实习生,在校/应届,本科,3k-4k,包午晚饭，大牛带，进步快,汽车丨出行,产品|需求|项目类,"['年底双薪', '专项奖金', '绩效奖金', '股票期权']",数据分析,广州
上海澳氪信息技术有限公司,ORCAMOBI,50-150人,A轮,普陀区,数据分析-商业化变现-实习生,在校/应届,本科,2k-3k,自研团队 发展潜力 团队内部培养,"移动互联网,广告营销",市场|商务类,"['股票期权', '年底双薪', '绩效奖金', '年终分红']",市场|营销,上海
武汉易久批信息技术有限公司,易久批,2000人以上,D轮及以上,洪山区,数据分析实习生,在校/应届,本科,3k-4k,双休 技术氛围好,"电商,移动互联网",开发|测试|运维类,"['带薪年假', '绩效奖金', '管理规范', '岗位晋升']",数据开发,武汉
北京欣星科技有限公司,欣星科技,50-150人,未融资,宝安区,Business Analyst 商业数据分析师-实习生,在校/应届,硕士,3k-6k,老板nice、海外旅游、扁平化管理,人工智能 软件开发,开发|测试|运维类,"['定期体检', '年终分红', '绩效奖金']",数据开发,深圳
北京优贝在线网络科技有限公司,优贝在线,150-500人,不需要融资,朝阳区,数据分析实习生,在校/应届,本科,4k-8k,产品持续盈利、技术牛、老板赞，福利棒,"移动互联网,社交",开发|测试|运维类,"['五险一金', '带薪年假', '管理规范', '年底多薪']",数据开发,北京
北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,海淀区,数据分析实习生,不限,本科,3k-5k,沉淀技术，能力提升，团队氛围好,企业服务,产品|需求|项目类,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",数据分析,北京
