公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
昆仑智汇数据科技（北京）有限公司,K2DATA,150-500人,B轮,高新区,数据分析实习生（苏州）,在校/应届,硕士,3k-6k,"行业风口,大牛带路,扁平化,环境好",数据服务,开发|测试|运维类,"['风口行业', '顶尖团队', '扁平管理', '学习型组织']",数据开发,苏州
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,数据分析师实习生,不限,本科,4k-5k,管两餐，无限翻墙，健身房，游泳馆，,社交,开发|测试|运维类,"['年底双薪', '股票期权', '带薪年假', '定期体检']",数据开发,北京
北京嘀嘀无限科技发展有限公司,滴滴,2000人以上,不需要融资,海淀区,数据分析实习生,在校/应届,本科,4k-6k,团队优秀，工作氛围好,汽车丨出行,开发|测试|运维类,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",数据开发,北京
中冶赛迪重庆信息技术有限公司,赛迪信息,500-2000人,不需要融资,渝北区,项目管理（数据分析） 实习生,在校/应届,本科,2k-3k,星级餐厅 导师带徒计划,移动互联网,综合职能|高级管理,"['年底双薪', '绩效奖金', '带薪年假', '午餐补助']",行政,重庆
北京转转精神科技有限责任公司,转转,500-2000人,B轮,芙蓉区,数据分析实习生,在校/应届,不限,2k-3k,"独角兽,福利好,平台大,发展前景好,实习证明","移动互联网,消费生活",产品|需求|项目类,"['带薪年假', '定期体检', '交通补助', '年底双薪']",数据分析,长沙
北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,数据分析实习生,不限,本科,4k-7k,每月房补，免费三餐。,文娱丨内容,开发|测试|运维类,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",数据开发,北京
四川生学教育科技有限公司,生学教育,150-500人,A轮,高新区,数据分析实习生,在校/应届,本科,2k-4k,五险一金、带薪年假、年终奖金、年度体检,"移动互联网,教育",开发|测试|运维类,"['节日礼物', '专项奖金', '股票期权', '带薪年假']",数据开发,成都
北京易点淘网络技术有限公司,易点租,500-2000人,D轮及以上,海淀区,数据分析实习生,在校/应届,硕士,3k-4k,独角兽企业，大牛带队，发展空间大,电商,产品|需求|项目类,"['绩效奖金', '岗位晋升', '五险一金', '午餐补助']",数据分析,北京
青岛垚盛鑫互联网科技有限公司,垚盛鑫互联网,50-150人,天使轮,市南区,大数据分析实习生,不限,大专,4k-6k,高薪,移动互联网,开发|测试|运维类,[],数据开发,青岛
北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,数据分析实习生,不限,本科,4k-6k,福利完善,文娱丨内容,开发|测试|运维类,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",数据分析,北京
上海联蔚数据科技有限公司,联蔚数据,150-500人,不需要融资,静安区,电商数据分析（实习）,在校/应届,本科,5k-10k,全面的培训、轻松的氛围、大牛众多,数据服务,市场|商务类,[],市场|营销,上海
成都知道创宇信息技术有限公司,知道创宇,500-2000人,C轮,高新区,数据分析实习生（业务分析）(J10401),在校/应届,硕士,5k-6k,技术氛围好,信息安全,开发|测试|运维类,"['节日礼物', '岗位晋升', '美女多', '领导好']",数据开发,成都
HBtech Trade Limited,火币网,2000人以上,不需要融资,海淀区,HR实习生-数据分析方向,在校/应届,本科,2k-4k,团队氛围好，leader专业度高，成长空间大,金融,综合职能|高级管理,"['红杉资本', '实现跨境支付', '优秀指导人', '自由货币']",人力资源,北京
济南百川大数据产业运营服务有限公司,百川大数据产业运营服务,50-150人,未融资,市中区,ETL大数据分析师实习生,不限,大专,5k-10k,钱多事少不加班,数据服务,开发|测试|运维类,[],数据开发,济南
济宁启帆大数据服务有限公司,启帆大数据,50-150人,未融资,任城区,大数据分析实习生,不限,大专,3k-6k,人才缺口大，新兴行业,"数据服务,物联网",开发|测试|运维类,[],数据开发,济宁
广东华仝九方科技有限公司,华仝九方,50-150人,不需要融资,荔湾区,数据分析实习生（2021届）,在校/应届,本科,2k-3k,周末双休、靠近地铁,"信息安全,数据服务",开发|测试|运维类,"['节日礼物', '带薪年假', '定期体检', '五险一金']",数据开发,广州
北京法伯宏业科技发展有限公司,法伯宏业,15-50人,未融资,朝阳区,数据分析实习生,在校/应届,本科,5k-7k,"人性化管理,业内大佬","医疗丨健康,数据服务",开发|测试|运维类,"['绩效奖金', '五险一金', '午餐补助', '弹性工作']",数据开发,北京
上海一里井会展服务有限公司,上海一里井,少于15人,未融资,浦东新区,数据分析实习生,在校/应届,大专,2k-3k,有留用机会,广告营销,开发|测试|运维类,[],数据开发,上海
戎易商智（北京）科技有限公司,戎易商智（北京）科技有限公司,15-50人,未融资,鼓楼区,数据分析师实习生,不限,本科,2k-3k,周末双休，五险一金，员工旅游，生日福利,"移动互联网,数据服务",商业服务|专业服务,[],咨询|调研,福州
北京奇步天下科技有限公司,360金融,500-2000人,上市公司,浦东新区,商业数据分析师-实习生,在校/应届,本科,4k-6k,团队氛围好；成长快,"移动互联网,金融",运营|编辑|客服类,[],运营,上海
亚马逊（中国）投资有限公司,亚马逊,2000人以上,上市公司,朝阳区,亚马逊Kindle&nbsp;BI数据分析实习生,不限,本科,2k-4k,福利待遇，发展前景,电商,产品|需求|项目类,[],数据分析,北京
深圳市数聚湾区大数据研究院,数聚湾区大数据研究院,少于15人,不需要融资,福田区,数据分析岗（实习）,在校/应届,本科,2k-4k,人才房补贴|周末双休|弹性工作,数据服务,开发|测试|运维类,[],数据开发,深圳
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,数据分析实习生,在校/应届,本科,2k-4k,"下午茶,团队氛围好,扁平管理,用户过亿",文娱丨内容,运营|编辑|客服类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",运营,北京
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,数据分析实习生-飞书,在校/应届,本科,8k-16k,"下午茶,健身瑜伽,六险一金,五险一金",文娱丨内容,运营|编辑|客服类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",运营,北京
北京易观智库网络科技有限公司,易观,150-500人,B轮,长宁区,数据分析实习生,在校/应届,本科,2k-3k,岗位晋升 六险一金 弹性工作,"移动互联网,数据服务",产品|需求|项目类,"['专项奖金', '午餐补助', '技能培训', '扁平管理']",数据分析,上海
北京嘀嘀无限科技发展有限公司,滴滴,2000人以上,不需要融资,海淀区,数据分析实习生,不限,本科,3k-4k,福利待遇优，部门氛围融洽，业务新颖有趣。,汽车丨出行,产品|需求|项目类,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",数据分析,北京
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,数据分析实习生,在校/应届,本科,4k-5k,大平台，福利好,教育,产品|需求|项目类,"['上市公司', '领军企业', '五险一金', '住福计划']",产品经理,北京
上海链牍科技有限公司,上海链牍科技有限公司,15-50人,A轮,长宁区,python数据分析师实习生,在校/应届,硕士,6k-10k,重要职位,"教育,其他",开发|测试|运维类,[],后端开发,上海
上海链牍科技有限公司,上海链牍科技有限公司,15-50人,A轮,长宁区,金融数据分析远程实习生,在校/应届,本科,6k-10k,重要职位,"教育,其他",金融类,[],证券|基金|信托|期货,上海
北京星衡科技有限公司,星衡科技,50-150人,未融资,海淀区,数据分析实习生【遥感图像】,不限,本科,4k-6k,"福利多多,团队优秀,快速发展","信息安全,数据服务",开发|测试|运维类,[],数据开发,北京
广东美云智数科技有限公司,美云智数,500-2000人,不需要融资,顺德区,数据分析实习生,在校/应届,本科,3k-4k,500强,企业服务,开发|测试|运维类,"['大平台新机遇', '资本热捧', '薪资奖金优厚', '扁平管理']",数据开发,佛山
